EntryPoint,PEType,MachineType,magic_number,bytes_on_last_page,pages_in_file,relocations,size_of_header,min_extra_paragraphs,max_extra_paragraphs,init_ss_value,init_sp_value,init_ip_value,init_cs_value,over_lay_number,oem_identifier,address_of_ne_header,Magic,SizeOfCode,SizeOfInitializedData,SizeOfUninitializedData,AddressOfEntryPoint,BaseOfCode,BaseOfData,ImageBase,SectionAlignment,FileAlignment,OperatingSystemVersion,ImageVersion,SizeOfImage,SizeOfHeaders,Checksum,Subsystem,DllCharacteristics,SizeofStackReserve,SizeofStackCommit,SizeofHeapCommit,SizeofHeapReserve,LoaderFlags,text_VirtualSize,text_VirtualAddress,text_SizeOfRawData,text_PointerToRawData,text_PointerToRelocations,text_PointerToLineNumbers,text_Characteristics,rdata_VirtualSize,rdata_VirtualAddress,rdata_SizeOfRawData,rdata_PointerToRawData,rdata_PointerToRelocations,rdata_PointerToLineNumbers,rdata_Characteristics,CodeDensity,HeaderRatio,TextRawToVirtualRatio,RdataRawToVirtualRatio,Category,source_file
238768,PE32,"Intel 386 or later, and compatibles",MZ,80,2,0,4,15,65535,0,184,0,0,26,0,256,PE32,251392,126976,0,238768,4096,258048,4194304,4096,512,4.0,0.0,409600,1024,441052,IMAGE_SUBSYSTEM_WINDOWS_GUI,[],16777216,16384,4096,1048576,0,0,0,0,0,0,0,0,24,290816,512,267264,0,0,"['IMAGE_SCN_CNT_INITIALIZED_DATA', 'IMAGE_SCN_MEM_SHARED', 'IMAGE_SCN_MEM_READ']",0.61375,0.0025,0.0,21.333333333333332,Ransomware,C:\samples\ransomware\0442cfabb3212644c4b894a7e4a7e84c00fd23489cc4f96490f9988e6074b6ab
1780448,PE32,"Intel 386 or later, and compatibles",MZ,144,3,0,4,0,65535,0,184,0,0,0,0,272,PE32,352256,897024,1425408,1780448,1429504,1781760,4194304,4096,512,5.1,0.0,2678784,4096,0,IMAGE_SUBSYSTEM_WINDOWS_GUI,"['IMAGE_DLLCHARACTERISTICS_DYNAMIC_BASE', 'IMAGE_DLLCHARACTERISTICS_TERMINAL_SERVER_AWARE']",4194304,4096,4096,4194304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13149847094801223,0.0015290519877675841,0.0,0.0,Ransomware,C:\samples\ransomware\1001a8c7f33185217e6e1bdbb8dba9780d475da944684fb4bf1fc04809525887
33303,PE32,"Intel 386 or later, and compatibles",MZ,144,3,0,4,0,65535,0,184,0,0,0,0,232,PE32,122880,2299392,0,33303,4096,126976,4194304,4096,512,5.1,0.0,2433024,1024,0,IMAGE_SUBSYSTEM_WINDOWS_CUI,"['IMAGE_DLLCHARACTERISTICS_DYNAMIC_BASE', 'IMAGE_DLLCHARACTERISTICS_NX_COMPAT', 'IMAGE_DLLCHARACTERISTICS_TERMINAL_SERVER_AWARE']",1048576,4096,4096,1048576,0,122477,4096,122880,1024,0,0,"['IMAGE_SCN_CNT_CODE', 'IMAGE_SCN_MEM_EXECUTE', 'IMAGE_SCN_MEM_READ']",38620,126976,38912,123904,0,0,"['IMAGE_SCN_CNT_INITIALIZED_DATA', 'IMAGE_SCN_MEM_READ']",0.050505050505050504,0.00042087542087542086,1.0032904137103293,1.0075608493008803,Ransomware,C:\samples\ransomware\131.exe
94575,PE32,"Intel 386 or later, and compatibles",MZ,144,3,0,4,0,65535,0,184,0,0,0,0,248,PE32,159744,82432,0,94575,4096,163840,4194304,4096,512,5.1,0.0,258048,1024,285765,IMAGE_SUBSYSTEM_WINDOWS_GUI,[],1048576,4096,4096,1048576,0,159541,4096,159744,1024,0,0,"['IMAGE_SCN_CNT_CODE', 'IMAGE_SCN_MEM_EXECUTE', 'IMAGE_SCN_MEM_READ']",49394,163840,49664,160768,0,0,"['IMAGE_SCN_CNT_INITIALIZED_DATA', 'IMAGE_SCN_MEM_READ']",0.6190476190476191,0.003968253968253968,1.0012724001980682,1.0054662509616552,Ransomware,C:\samples\ransomware\26b4699a7b9eeb16e76305d843d4ab05e94d43f3201436927e13b3ebafa90739.bin
153505,PE32,"Intel 386 or later, and compatibles",MZ,144,3,0,4,0,65535,0,184,0,0,0,0,240,PE32,221184,65536,0,153505,4096,225280,4194304,4096,4096,4.0,0.0,376832,4096,354365,IMAGE_SUBSYSTEM_WINDOWS_GUI,[],1048576,4096,4096,1048576,0,219398,4096,221184,4096,0,0,"['IMAGE_SCN_CNT_CODE', 'IMAGE_SCN_MEM_EXECUTE', 'IMAGE_SCN_MEM_READ']",28820,225280,32768,225280,0,0,"['IMAGE_SCN_CNT_INITIALIZED_DATA', 'IMAGE_SCN_MEM_READ']",0.5869565217391305,0.010869565217391304,1.0081404570688886,1.1369882026370577,Ransomware,C:\samples\ransomware\3372c1edab46837f1e973164fa2d726c5c5e17bcb888828ccd7c4dfcc234a370
316285,PE32,"Intel 386 or later, and compatibles",MZ,144,3,0,4,0,65535,0,184,0,0,0,0,256,PE32,457728,359424,0,316285,4096,462848,4194304,4096,512,5.1,0.0,831488,1024,817815,IMAGE_SUBSYSTEM_WINDOWS_GUI,[],1048576,4096,4096,1048576,0,457564,4096,457728,1024,0,0,"['IMAGE_SCN_CNT_CODE', 'IMAGE_SCN_MEM_EXECUTE', 'IMAGE_SCN_MEM_READ']",140922,462848,141312,458752,0,0,"['IMAGE_SCN_CNT_INITIALIZED_DATA', 'IMAGE_SCN_MEM_READ']",0.5504926108374384,0.0012315270935960591,1.000358419805754,1.002767488397837,Ransomware,C:\samples\ransomware\4c1dc737915d76b7ce579abddaba74ead6fdb5b519a1ea45308b8c49b950655c.bin
4800,PE32,"Intel 386 or later, and compatibles",MZ,144,3,0,4,0,65535,0,184,0,0,0,0,128,PE32,39424,262656,3072,4800,4096,45056,4194304,4096,512,4.0,1.0,290816,1024,267403,IMAGE_SUBSYSTEM_WINDOWS_GUI,[],2097152,4096,4096,1048576,0,39188,4096,39424,1024,0,0,"['IMAGE_SCN_CNT_CODE', 'IMAGE_SCN_CNT_INITIALIZED_DATA', 'IMAGE_SCN_MEM_EXECUTE', 'IMAGE_SCN_MEM_READ']",17544,49152,17920,40960,0,0,"['IMAGE_SCN_CNT_INITIALIZED_DATA', 'IMAGE_SCN_MEM_READ']",0.13556338028169015,0.0035211267605633804,1.006022251709707,1.0214318285453716,Ransomware,C:\samples\ransomware\51B4EF5DC9D26B7A26E214CEE90598631E2EAA67
89774,PE32,"Intel 386 or later, and compatibles",MZ,144,3,0,4,0,65535,0,184,0,0,0,0,128,PE32,81920,2048,0,89774,8192,90112,4194304,8192,512,4.0,0.0,106496,512,0,IMAGE_SUBSYSTEM_WINDOWS_GUI,"['IMAGE_DLLCHARACTERISTICS_DYNAMIC_BASE', 'IMAGE_DLLCHARACTERISTICS_NX_COMPAT', 'IMAGE_DLLCHARACTERISTICS_NO_SEH', 'IMAGE_DLLCHARACTERISTICS_TERMINAL_SERVER_AWARE']",1048576,4096,4096,1048576,0,81588,8192,81920,512,0,0,"['IMAGE_SCN_CNT_CODE', 'IMAGE_SCN_MEM_EXECUTE', 'IMAGE_SCN_MEM_READ']",0,0,0,0,0,0,0,0.7692307692307693,0.004807692307692308,1.004069225866549,0.0,Ransomware,C:\samples\ransomware\58bfb9fa8889550d13f42473956dc2a7ec4f3abb18fd3faeaa38089d513c171f
97918,PE32,"Intel 386 or later, and compatibles",MZ,144,3,0,4,0,65535,0,184,0,0,0,0,128,PE32,90112,2560,0,97918,8192,98304,4194304,8192,512,4.0,0.0,114688,512,0,IMAGE_SUBSYSTEM_WINDOWS_GUI,"['IMAGE_DLLCHARACTERISTICS_DYNAMIC_BASE', 'IMAGE_DLLCHARACTERISTICS_NX_COMPAT', 'IMAGE_DLLCHARACTERISTICS_NO_SEH', 'IMAGE_DLLCHARACTERISTICS_TERMINAL_SERVER_AWARE']",1048576,4096,4096,1048576,0,89732,8192,90112,512,0,0,"['IMAGE_SCN_CNT_CODE', 'IMAGE_SCN_MEM_EXECUTE', 'IMAGE_SCN_MEM_READ']",0,0,0,0,0,0,0,0.7857142857142857,0.004464285714285714,1.0042348326126689,0.0,Ransomware,C:\samples\ransomware\5d40615701c48a122e44f831e7c8643d07765629a83b15d090587f469c77693d
9488,PE32,"Intel 386 or later, and compatibles",MZ,144,3,0,4,0,65535,0,184,0,0,0,0,232,PE32,8704,40960,0,9488,4096,16384,4194304,4096,512,5.1,0.0,65536,1024,77788,IMAGE_SUBSYSTEM_WINDOWS_GUI,"['IMAGE_DLLCHARACTERISTICS_NO_ISOLATION', 'IMAGE_DLLCHARACTERISTICS_TERMINAL_SERVER_AWARE']",1048576,4096,4096,1048576,0,12288,4096,8704,1024,0,0,"['IMAGE_SCN_CNT_CODE', 'IMAGE_SCN_MEM_EXECUTE', 'IMAGE_SCN_MEM_READ']",0,0,0,0,0,0,0,0.1328125,0.015625,0.7083333333333334,0.0,Ransomware,C:\samples\ransomware\683a09da219918258c58a7f61f7dc4161a3a7a377cf82a31b840baabfb9a4a96.bin
1919319279,PE32,"Intel 386 or later, and compatibles",MZ,144,3,0,4,0,65535,0,184,0,0,0,0,128,PE32,90112,2560,0,1919319279,8192,98304,13369344,8192,512,4.0,0.0,114688,512,0,IMAGE_SUBSYSTEM_WINDOWS_GUI,"['IMAGE_DLLCHARACTERISTICS_DYNAMIC_BASE', 'IMAGE_DLLCHARACTERISTICS_NX_COMPAT', 'IMAGE_DLLCHARACTERISTICS_NO_SEH', 'IMAGE_DLLCHARACTERISTICS_TERMINAL_SERVER_AWARE']",1048576,4096,4096,1048576,0,89732,8192,90112,8192,0,0,"['IMAGE_SCN_CNT_CODE', 'IMAGE_SCN_MEM_EXECUTE', 'IMAGE_SCN_MEM_READ']",0,0,0,0,0,0,0,0.7857142857142857,0.004464285714285714,1.0042348326126689,0.0,Ransomware,C:\samples\ransomware\ae66e009e16f0fad3b70ad20801f48f2edb904fa5341a89e126a26fd3fc80f75
238768,PE32,"Intel 386 or later, and compatibles",MZ,80,2,0,4,15,65535,0,184,0,0,26,0,256,PE32,251392,126976,0,238768,4096,258048,4194304,4096,512,4.0,0.0,409600,1024,404309,IMAGE_SUBSYSTEM_WINDOWS_GUI,[],16777216,16384,4096,1048576,0,0,0,0,0,0,0,0,24,290816,512,267264,0,0,"['IMAGE_SCN_CNT_INITIALIZED_DATA', 'IMAGE_SCN_MEM_SHARED', 'IMAGE_SCN_MEM_READ']",0.61375,0.0025,0.0,21.333333333333332,Ransomware,C:\samples\ransomware\c0cf40b8830d666a24bdd4febdc162e95aa30ed968fa3675e26ad97b2e88e03a
95034,PE32,"Intel 386 or later, and compatibles",MZ,144,3,0,4,0,65535,0,184,0,0,0,0,128,PE32,87040,2048,0,95034,8192,98304,4194304,8192,512,4.0,0.0,114688,512,0,IMAGE_SUBSYSTEM_WINDOWS_GUI,"['IMAGE_DLLCHARACTERISTICS_DYNAMIC_BASE', 'IMAGE_DLLCHARACTERISTICS_NX_COMPAT', 'IMAGE_DLLCHARACTERISTICS_NO_SEH', 'IMAGE_DLLCHARACTERISTICS_TERMINAL_SERVER_AWARE']",1048576,4096,4096,1048576,0,86848,8192,87040,512,0,0,"['IMAGE_SCN_CNT_CODE', 'IMAGE_SCN_MEM_EXECUTE', 'IMAGE_SCN_MEM_READ']",0,0,0,0,0,0,0,0.7589285714285714,0.004464285714285714,1.002210759027266,0.0,Ransomware,C:\samples\ransomware\c460fc0d4fdaf5c68623e18de106f1c3601d7bd6ba80ddad86c10fd6ea123850
324832,PE32,"Intel 386 or later, and compatibles",MZ,144,3,0,4,0,65535,0,184,0,0,0,0,224,PE32,323072,294912,0,324832,4096,327680,4194304,4096,512,5.0,0.0,630784,1024,0,IMAGE_SUBSYSTEM_WINDOWS_GUI,['IMAGE_DLLCHARACTERISTICS_TERMINAL_SERVER_AWARE'],1048576,4096,4096,1048576,0,322926,4096,323072,1024,0,0,"['IMAGE_SCN_CNT_CODE', 'IMAGE_SCN_MEM_EXECUTE', 'IMAGE_SCN_MEM_READ']",239738,327680,240128,324096,0,0,"['IMAGE_SCN_CNT_INITIALIZED_DATA', 'IMAGE_SCN_MEM_READ']",0.5121753246753247,0.0016233766233766235,1.0004521159646482,1.001626775897021,Ransomware,C:\samples\ransomware\cerber.exe
13447,PE32,"Intel 386 or later, and compatibles",MZ,144,3,0,4,0,65535,0,184,0,0,0,0,240,PE32,34816,210432,0,13447,4096,40960,4194304,4096,512,5.0,0.0,54423552,1024,0,IMAGE_SUBSYSTEM_WINDOWS_GUI,['IMAGE_DLLCHARACTERISTICS_TERMINAL_SERVER_AWARE'],1048576,4096,4096,1048576,0,34487,4096,34816,1024,0,0,"['IMAGE_SCN_CNT_CODE', 'IMAGE_SCN_MEM_EXECUTE', 'IMAGE_SCN_MEM_READ']",10272,40960,10752,35840,0,0,"['IMAGE_SCN_CNT_INITIALIZED_DATA', 'IMAGE_SCN_MEM_READ']",0.0006397230375555054,1.8815383457514865e-05,1.009539826601328,1.0467289719626167,Ransomware,C:\samples\ransomware\cryptowall.bin
95376,PE32,"Intel 386 or later, and compatibles",MZ,144,3,0,4,0,65535,0,184,0,0,0,0,128,PE32,16384,4096,77824,95376,81920,98304,4194304,4096,512,4.0,1.0,102400,4096,0,IMAGE_SUBSYSTEM_WINDOWS_GUI,[],2097152,4096,4096,1048576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.04,0.0,0.0,Ransomware,C:\samples\ransomware\DUMP_00A10000-00A1D000.exe.ViR
238768,PE32,"Intel 386 or later, and compatibles",MZ,80,2,0,4,15,65535,0,184,0,0,26,0,256,PE32,251392,84992,0,238768,4096,258048,4194304,4096,512,4.0,0.0,368640,1024,342479,IMAGE_SUBSYSTEM_WINDOWS_GUI,[],16777216,16384,4096,1048576,0,0,0,0,0,0,0,0,24,290816,512,267264,0,0,"['IMAGE_SCN_CNT_INITIALIZED_DATA', 'IMAGE_SCN_MEM_SHARED', 'IMAGE_SCN_MEM_READ']",0.6819444444444445,0.002777777777777778,0.0,21.333333333333332,Ransomware,C:\samples\ransomware\e49778d20a2f9b1f8b00ddd24b6bcee81af381ed02cfe0a3c9ab3111cda5f573
4800,PE32,"Intel 386 or later, and compatibles",MZ,144,3,0,4,0,65535,0,184,0,0,0,0,128,PE32,43008,266240,3072,4800,4096,49152,4194304,4096,512,4.0,1.0,294912,1024,281743,IMAGE_SUBSYSTEM_WINDOWS_GUI,[],2097152,4096,4096,1048576,0,42856,4096,43008,1024,0,0,"['IMAGE_SCN_CNT_CODE', 'IMAGE_SCN_CNT_INITIALIZED_DATA', 'IMAGE_SCN_MEM_EXECUTE', 'IMAGE_SCN_MEM_READ']",17564,53248,17920,44544,0,0,"['IMAGE_SCN_CNT_INITIALIZED_DATA', 'IMAGE_SCN_MEM_READ']",0.14583333333333334,0.003472222222222222,1.0035467612469666,1.0202687314962424,Ransomware,C:\samples\ransomware\E906FA3D51E86A61741B3499145A114E9BFB7C56
30650,PE32,"Intel 386 or later, and compatibles",MZ,144,3,0,4,0,65535,0,184,0,0,0,0,248,PE32,28672,3481600,0,30650,4096,32768,4194304,4096,4096,4.0,0.0,3514368,4096,0,IMAGE_SUBSYSTEM_WINDOWS_GUI,[],1048576,4096,4096,1048576,0,27056,4096,28672,4096,0,0,"['IMAGE_SCN_CNT_CODE', 'IMAGE_SCN_MEM_EXECUTE', 'IMAGE_SCN_MEM_READ']",24432,32768,24576,32768,0,0,"['IMAGE_SCN_CNT_INITIALIZED_DATA', 'IMAGE_SCN_MEM_READ']",0.008158508158508158,0.0011655011655011655,1.0597279716144294,1.005893909626719,Ransomware,C:\samples\ransomware\ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa.exe
319498,PE32,"Intel 386 or later, and compatibles",MZ,144,3,0,4,0,65535,0,184,0,0,0,0,128,PE32,72704,216576,0,319498,229376,8192,4194304,8192,512,4.0,0.0,327680,1024,0,IMAGE_SUBSYSTEM_WINDOWS_GUI,"['IMAGE_DLLCHARACTERISTICS_DYNAMIC_BASE', 'IMAGE_DLLCHARACTERISTICS_NX_COMPAT', 'IMAGE_DLLCHARACTERISTICS_NO_SEH', 'IMAGE_DLLCHARACTERISTICS_TERMINAL_SERVER_AWARE']",1048576,4096,4096,1048576,0,71800,229376,72192,215040,0,0,"['IMAGE_SCN_CNT_CODE', 'IMAGE_SCN_MEM_EXECUTE', 'IMAGE_SCN_MEM_READ']",0,0,0,0,0,0,0,0.221875,0.003125,1.0054596100278552,0.0,Ransomware,C:\samples\ransomware\jigsaw
49372,PE32,"Intel 386 or later, and compatibles",MZ,144,3,0,4,0,65535,0,184,0,0,0,0,224,PE32,49152,3948544,0,49372,4096,53248,4194304,4096,4096,4.0,0.0,4001792,4096,0,IMAGE_SUBSYSTEM_WINDOWS_GUI,[],1048576,4096,4096,1048576,0,45772,4096,49152,4096,0,0,"['IMAGE_SCN_CNT_CODE', 'IMAGE_SCN_MEM_EXECUTE', 'IMAGE_SCN_MEM_READ']",4290,53248,8192,53248,0,0,"['IMAGE_SCN_CNT_INITIALIZED_DATA', 'IMAGE_SCN_MEM_READ']",0.012282497441146366,0.0010235414534288639,1.073844271607096,1.9095571095571096,Ransomware,C:\samples\ransomware\Locky
6238,PE32,"Intel 386 or later, and compatibles",MZ,144,3,0,4,0,65535,0,184,0,0,0,0,224,PE32,37888,66048,0,6238,4096,45056,4194304,4096,512,5.0,0.0,122880,1024,0,IMAGE_SUBSYSTEM_WINDOWS_GUI,['IMAGE_DLLCHARACTERISTICS_TERMINAL_SERVER_AWARE'],1048576,4096,4096,1048576,0,37711,4096,37888,1024,0,0,"['IMAGE_SCN_CNT_CODE', 'IMAGE_SCN_MEM_EXECUTE', 'IMAGE_SCN_MEM_READ']",11094,45056,11264,38912,0,0,"['IMAGE_SCN_CNT_INITIALIZED_DATA', 'IMAGE_SCN_MEM_READ']",0.30833333333333335,0.008333333333333333,1.0046935907294954,1.015323598341446,Ransomware,C:\samples\ransomware\Matsnu-MBRwipingRansomware_1B2D2A4B97C7C2727D571BBF9376F54F_Inkasso Rechnung vom 27.05.2013 .com_
93006,PE32,"Intel 386 or later, and compatibles",MZ,144,3,0,4,0,65535,0,184,0,0,0,0,128,PE32,84992,838656,0,93006,8192,98304,4194304,8192,512,4.0,0.0,950272,512,0,IMAGE_SUBSYSTEM_WINDOWS_GUI,"['IMAGE_DLLCHARACTERISTICS_DYNAMIC_BASE', 'IMAGE_DLLCHARACTERISTICS_NX_COMPAT', 'IMAGE_DLLCHARACTERISTICS_NO_SEH', 'IMAGE_DLLCHARACTERISTICS_TERMINAL_SERVER_AWARE']",1048576,4096,4096,1048576,0,84820,8192,84992,512,0,0,"['IMAGE_SCN_CNT_CODE', 'IMAGE_SCN_MEM_EXECUTE', 'IMAGE_SCN_MEM_READ']",0,0,0,0,0,0,0,0.0894396551724138,0.0005387931034482759,1.0020278236265032,0.0,Ransomware,C:\samples\ransomware\Ransomware.Unnamed_0.exe
21536,PE32,"Intel 386 or later, and compatibles",MZ,144,3,0,4,0,65535,0,184,0,0,0,0,232,PE32,22528,75776,0,21536,4096,28672,4194304,4096,512,5.1,0.0,110592,1024,60234,IMAGE_SUBSYSTEM_WINDOWS_GUI,"['IMAGE_DLLCHARACTERISTICS_NX_COMPAT', 'IMAGE_DLLCHARACTERISTICS_TERMINAL_SERVER_AWARE']",1048576,4096,4096,1048576,0,22342,4096,22528,1024,0,0,"['IMAGE_SCN_CNT_CODE', 'IMAGE_SCN_MEM_EXECUTE', 'IMAGE_SCN_MEM_READ']",0,0,0,0,0,0,0,0.2037037037037037,0.009259259259259259,1.0083251275624385,0.0,Ransomware,C:\samples\ransomware\unpacked.mem
4585,PE32,"Intel 386 or later, and compatibles",MZ,144,3,0,4,0,65535,0,184,0,0,0,0,224,PE32,4096,5259264,0,4585,4096,8192,268435456,4096,4096,4.0,0.0,5267456,4096,0,IMAGE_SUBSYSTEM_WINDOWS_GUI,[],1048576,4096,4096,1048576,0,652,4096,4096,4096,0,0,"['IMAGE_SCN_CNT_CODE', 'IMAGE_SCN_MEM_EXECUTE', 'IMAGE_SCN_MEM_READ']",472,8192,4096,8192,0,0,"['IMAGE_SCN_CNT_INITIALIZED_DATA', 'IMAGE_SCN_MEM_READ']",0.0007776049766718507,0.0007776049766718507,6.282208588957055,8.677966101694915,Ransomware,C:\samples\ransomware\Win32.Wannacry.exe
